CORR,DESCRIPCION PROFESION/OFICIO
1,SIN PROFESION
2,DESEMPLEADO(A)
3,ARTE Y ARQUITECTURA
4,TEC. EN ARQUITECTURA
5,TEC. EN DISEÑO GRAFICO
6,LIC.(A) EN ARTES PLASTICAS
7,LIC.(A) EN DISEÑO AMBIENTAL
8,LIC.(A) EN DISEÑO ARTESANAL
9,LIC.(A) EN DISEÑO GRAFICO
10,ARQUITECTO(A)
11,DISEÑADOR(A) DE INTERIORES
12,TEC. EN ARQUITECTURA Y CONSTRUCCION
13,TEC. EN DISEÑO Y CONSTRUCCION
14,DISEÑADOR GRAFICO
15,ACTOR
16,TEC. EN CONSTRUCCION CIVIL
17,LIC. RELACIONES PUBLIC.Y COMUNICACIONES
18,ACTRIZ
19,DOCTOR EN ARTES
20,LIC. EN ARTES
21,DISEÑADOR ARTESANAL
22,TEC. EN TECNOLOGIA ARQUITECTONICA
23,PROFESOR(A) DE ARTES
24,MAESTRO EN ARTES VISUALES
25,LIC.(A) EN CIENCIAS Y ARTES
26,ARTES PLASTICAS
27,ING. EN CONSTRUCCION
28,LIC.(A) EN HISTORIA DEL ARTE
29,TEC. EN ING. DE LA CONSTRUCCION
30,LIC.(A) EN ARTES Y LETRAS
31,TEC. EN DISEÑO GRAFICO Y ANIMACION
32,LICENCIATURA EN ARQUITECTURA
33,LICENCIADO EN CIENCIAS RELIGIOSAS
34,LIC(A) EN ARQUIT. DE INTERIORES
35,LIC.(A) EN DISEÑO DEL PRODUCTO ARTESANAL
36,TECNICO EN IDIOMA INGLES
37,LIC.(A) EN IDIOMA C/ESP/ ENS. DEL INGLES
38,LIC. ARTES PLASTICAS OPC.DISEÑO GRAFICO
39,"ECONOMIA, ADMON Y COMERCIO"
40,TEC. EN ADMON DE EMPRESAS
41,TEC. EN FINANZAS
42,TEC. EN CONTADURIA PUBLICA
43,TEC. EN COMERCIO INTER.
44,TEC. EN MERCADEO
45,CONTADOR PUBLICO CERTIFICADO
46,LIC.(A) EN ADMON BANCARIA
47,LIC.(A) EN ADMON DE EMPRESAS
48,LIC.(A) EN ADMON DE VENTAS
49,LIC.(A) EN ADMON FINANCIERA
50,LIC.(A) EN CONTADURIA PUBLICA
51,LIC.(A) EN ECONOMIA
52,LIC.(A) EN MERCADOTECNIA
53,MS. EN MERCADEO
54,MS. EN ADMON DE EMPRESAS
55,MS. EN ADMON FINANCIERA
56,MS. EN ADMON PUBLICA
57,LIC.(A) EN ADMINISTRACION AGRICOLA
58,CONTADOR
59,LIC.(A) EN MERCADEO
60,ECONOMISTA
61,CONSULTOR EN ECONOMIA
